"custid","mortgage","cre_card","deb_card","mob_bank","house","internet","perloan","savings","atm_user","odrftlim","points_user","age","conv_ac","cus_leng","Accept_Cashcard"
12420507,"SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO",18,"SI","menor 3 años","SI"
12221373,"NO","NO","NO","SI","NO","NO","NO","NO","SI","NO","NO",18,"NO"," 3 - 7 años","SI"
4651853,"SI","NO","SI","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI","menor 3 años","SI"
9023217,"NO","NO","SI","SI","NO","NO","NO","NO","SI","NO","NO",18,"SI","menor 3 años","SI"
9987661,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","NO"
23529567,"SI","SI","SI","NO","NO","NO","NO","NO","SI","NO","SI",18,"SI","menor 3 años","SI"
6462432,"NO","SI","SI","NO","NO","NO","NO","SI","NO","SI","NO",18,"SI","menor 3 años","SI"
5310877,"NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",18,"NO","menor 3 años","SI"
2567671,"SI","NO","SI","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
908968,"NO","NO","SI","NO","SI","NO","SI","NO","NO","NO","NO",18,"SI"," 3 - 7 años","SI"
36968454,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",18,"SI","menor 3 años","SI"
1805871,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",18,"NO"," 3 - 7 años","SI"
14774520,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI","mas de 7 años","NO"
14167027,"NO","SI","SI","NO","NO","NO","NO","NO","NO","NO","SI",18,"NO","menor 3 años","SI"
23458658,"NO","SI","SI","NO","SI","NO","SI","NO","SI","NO","NO",18,"NO"," 3 - 7 años","NO"
4798821,"SI","SI","NO","NO","SI","SI","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","NO"
1912592,"SI","SI","SI","NO","NO","NO","NO","NO","NO","SI","NO",18,"SI","menor 3 años","SI"
11261526,"NO","NO","NO","NO","SI","NO","NO","NO","NO","NO","NO",18,"SI","menor 3 años","SI"
95070,"SI","SI","SI","SI","NO","NO","NO","NO","NO","NO","NO",18,"SI"," 3 - 7 años","SI"
2343628,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
9159221,"SI","NO","SI","SI","SI","NO","NO","SI","NO","SI","NO",18,"SI","menor 3 años","SI"
1053091,"NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO",18,"NO","menor 3 años","SI"
1375354,"SI","SI","SI","NO","NO","NO","NO","NO","SI","NO","NO",18,"SI","mas de 7 años","NO"
1699619,"SI","SI","SI","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI","mas de 7 años","NO"
12036009,"SI","NO","SI","SI","NO","NO","NO","NO","SI","NO","NO",18,"SI"," 3 - 7 años","NO"
20423579,"SI","NO","SI","NO","SI","NO","NO","NO","SI","NO","NO",18,"SI","mas de 7 años","NO"
15496618,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
20029980,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",18,"SI"," 3 - 7 años","SI"
21335797,"SI","SI","SI","NO","SI","NO","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","SI"
70228,"SI","NO","SI","NO","NO","NO","SI","NO","SI","NO","NO",18,"SI"," 3 - 7 años","NO"
2492518,"SI","NO","SI","NO","NO","NO","NO","NO","SI","SI","SI",18,"SI"," 3 - 7 años","SI"
23176341,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
2508376,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI","mas de 7 años","NO"
52580906,"SI","SI","NO","SI","NO","NO","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","SI"
15453459,"SI","SI","NO","NO","NO","NO","NO","NO","NO","SI","NO",18,"SI","menor 3 años","SI"
13599219,"SI","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","SI"
14354654,"SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO",18,"SI"," 3 - 7 años","SI"
17052122,"SI","NO","SI","NO","SI","NO","NO","NO","SI","NO","NO",18,"SI"," 3 - 7 años","SI"
1965486,"NO","NO","SI","SI","NO","NO","NO","SI","NO","NO","NO",18,"SI","menor 3 años","SI"
9282709,"SI","SI","SI","NO","NO","NO","NO","SI","SI","SI","NO",18,"SI","menor 3 años","SI"
8762050,"SI","SI","SI","NO","SI","SI","NO","NO","SI","NO","NO",18,"SI"," 3 - 7 años","NO"
11548830,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
12678058,"NO","SI","NO","NO","NO","NO","NO","NO","NO","NO","SI",19,"NO","menor 3 años","SI"
18287397,"SI","NO","NO","NO","SI","SI","NO","NO","SI","NO","NO",19,"SI"," 3 - 7 años","NO"
13481077,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
5284985,"SI","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
58634138,"NO","NO","SI","SI","NO","NO","NO","NO","NO","NO","SI",19,"SI","menor 3 años","SI"
11457861,"NO","SI","SI","NO","NO","NO","NO","NO","NO","SI","SI",19,"SI"," 3 - 7 años","SI"
32961732,"SI","NO","SI","NO","SI","NO","NO","NO","NO","SI","NO",19,"SI"," 3 - 7 años","SI"
13635491,"NO","NO","NO","NO","NO","NO","NO","SI","SI","SI","NO",19,"NO"," 3 - 7 años","SI"
25600773,"NO","SI","SI","NO","NO","NO","NO","NO","NO","NO","SI",19,"SI"," 3 - 7 años","SI"
15212833,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
21598589,"SI","NO","SI","SI","NO","NO","NO","NO","SI","NO","NO",19,"SI","menor 3 años","SI"
33729604,"SI","SI","NO","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
4744526,"NO","NO","NO","NO","NO","NO","NO","NO","NO","SI","NO",19,"NO"," 3 - 7 años","SI"
20401273,"SI","NO","SI","SI","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
23556079,"SI","NO","SI","SI","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
17501004,"SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
5214195,"NO","NO","NO","NO","SI","NO","NO","NO","NO","SI","SI",19,"SI"," 3 - 7 años","NO"
22172550,"NO","NO","SI","NO","SI","NO","NO","NO","SI","NO","NO",19,"NO","menor 3 años","SI"
3090119,"SI","SI","SI","NO","NO","NO","NO","NO","SI","NO","NO",19,"SI"," 3 - 7 años","SI"
21272242,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","SI",19,"SI","menor 3 años","SI"
25866855,"SI","SI","SI","NO","SI","NO","NO","NO","SI","NO","NO",19,"SI"," 3 - 7 años","NO"
15893197,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
32638909,"SI","SI","NO","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
17273493,"NO","SI","SI","NO","NO","NO","NO","NO","SI","NO","NO",19,"NO","menor 3 años","SI"
5692616,"NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO",19,"NO"," 3 - 7 años","NO"
538076,"NO","NO","SI","NO","SI","NO","NO","NO","NO","NO","SI",19,"NO","menor 3 años","SI"
4416758,"SI","NO","NO","NO","NO","NO","NO","NO","NO","NO","SI",19,"SI","menor 3 años","SI"
21731358,"SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
26716964,"SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO",19,"SI","menor 3 años","SI"
17803756,"SI","SI","SI","NO","SI","NO","NO","NO","SI","SI","SI",19,"SI","menor 3 años","SI"
17239237,"SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
10625966,"SI","NO","SI","NO","SI","SI","NO","NO","SI","SI","SI",19,"SI","menor 3 años","SI"
9839662,"NO","SI","NO","NO","SI","NO","NO","NO","SI","SI","NO",19,"NO"," 3 - 7 años","SI"
6011532,"SI","SI","NO","NO","SI","SI","NO","SI","SI","SI","NO",19,"SI","mas de 7 años","NO"
28552975,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
23143973,"NO","NO","SI","NO","SI","NO","NO","NO","NO","NO","NO",19,"NO"," 3 - 7 años","SI"
20736442,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
20783657,"SI","NO","SI","NO","SI","NO","NO","NO","SI","NO","NO",19,"SI"," 3 - 7 años","SI"
621563,"NO","NO","SI","NO","SI","NO","NO","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
31150903,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
602462,"SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
20243794,"SI","NO","SI","NO","SI","NO","NO","NO","NO","NO","SI",19,"SI","menor 3 años","SI"
602430,"SI","SI","NO","NO","SI","SI","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
36031365,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
23426033,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
2725014,"SI","SI","SI","NO","SI","NO","NO","NO","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
17395055,"SI","SI","NO","NO","NO","NO","NO","NO","NO","SI","NO",19,"SI"," 3 - 7 años","SI"
247632,"NO","SI","SI","NO","NO","NO","SI","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
14188848,"NO","NO","SI","SI","SI","NO","NO","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
15619897,"NO","SI","SI","NO","SI","NO","NO","NO","NO","NO","SI",19,"NO"," 3 - 7 años","SI"
9897445,"NO","NO","NO","NO","SI","NO","NO","SI","NO","SI","NO",19,"NO","menor 3 años","SI"
12865177,"SI","SI","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
10206340,"NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"NO","menor 3 años","SI"
8689577,"NO","NO","NO","NO","NO","NO","NO","SI","SI","NO","SI",19,"NO","menor 3 años","NO"
1627315,"SI","SI","SI","NO","NO","NO","NO","NO","NO","SI","NO",19,"SI"," 3 - 7 años","SI"
253901,"SI","SI","NO","NO","NO","SI","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","SI"
18441863,"NO","NO","SI","SI","NO","NO","SI","NO","NO","SI","NO",19,"NO","menor 3 años","SI"
1023402,"SI","SI","SI","NO","SI","NO","NO","NO","SI","NO","NO",19,"SI"," 3 - 7 años","SI"
1575928,"SI","SI","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","SI"
16543410,"SI","NO","NO","NO","NO","NO","SI","NO","SI","NO","NO",19,"SI"," 3 - 7 años","SI"
16788398,"NO","NO","SI","SI","NO","NO","NO","NO","SI","NO","SI",19,"SI","menor 3 años","SI"
5389549,"SI","SI","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
21285728,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
2565397,"SI","SI","NO","NO","SI","NO","NO","SI","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
32382710,"NO","NO","SI","NO","NO","NO","SI","NO","NO","SI","SI",19,"SI","menor 3 años","SI"
824581,"SI","SI","NO","NO","SI","NO","NO","SI","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
23983913,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
15834040,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
3102439,"SI","NO","SI","SI","NO","NO","NO","NO","SI","SI","SI",19,"SI","menor 3 años","SI"
15554835,"SI","NO","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
11385356,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
13682969,"NO","SI","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
1041355,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","SI",19,"SI"," 3 - 7 años","SI"
9996352,"SI","SI","SI","NO","SI","NO","NO","NO","NO","SI","NO",19,"SI"," 3 - 7 años","SI"
21082228,"SI","SI","NO","NO","NO","NO","NO","NO","NO","SI","NO",19,"SI","menor 3 años","SI"
4330271,"SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
1028187,"SI","NO","NO","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
9275258,"NO","SI","SI","SI","SI","NO","NO","NO","NO","NO","SI",19,"SI","menor 3 años","SI"
17210825,"SI","SI","SI","NO","SI","NO","NO","NO","NO","SI","SI",19,"SI","menor 3 años","SI"
13294123,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
17087093,"SI","NO","SI","NO","SI","NO","NO","NO","SI","NO","NO",19,"SI"," 3 - 7 años","NO"
15026499,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","SI",19,"SI"," 3 - 7 años","NO"
269738,"SI","NO","SI","NO","SI","NO","NO","NO","NO","SI","NO",19,"SI","menor 3 años","SI"
32958758,"SI","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI","menor 3 años","SI"
16272888,"NO","SI","SI","NO","NO","NO","NO","NO","SI","NO","SI",19,"NO","menor 3 años","SI"
10825846,"NO","SI","SI","NO","NO","NO","NO","NO","NO","NO","SI",19,"NO","menor 3 años","SI"
2291831,"SI","SI","SI","NO","NO","NO","NO","NO","NO","SI","NO",19,"SI"," 3 - 7 años","SI"
25704678,"SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
13122750,"SI","NO","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
29044790,"SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO",19,"SI"," 3 - 7 años","SI"
12527126,"SI","NO","SI","NO","SI","NO","NO","NO","SI","NO","NO",19,"SI"," 3 - 7 años","NO"
1417963,"SI","SI","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
13902536,"NO","NO","SI","NO","SI","NO","NO","NO","NO","NO","NO",19,"NO"," 3 - 7 años","SI"
12077631,"NO","NO","SI","SI","SI","NO","NO","NO","NO","NO","SI",19,"SI","menor 3 años","SI"
27121676,"NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
6196996,"SI","SI","NO","NO","NO","SI","NO","SI","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
1708352,"NO","SI","SI","SI","SI","NO","NO","NO","SI","SI","NO",19,"SI","menor 3 años","SI"
29101859,"NO","SI","SI","NO","SI","NO","SI","NO","NO","SI","NO",19,"SI"," 3 - 7 años","SI"
12375084,"NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","SI",19,"NO","menor 3 años","SI"
5389565,"SI","SI","NO","NO","SI","SI","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
5595841,"SI","SI","SI","NO","SI","NO","SI","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
13695667,"SI","NO","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
21310048,"NO","NO","SI","SI","SI","NO","NO","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
92056,"NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO",19,"NO"," 3 - 7 años","SI"
32793289,"NO","NO","NO","NO","SI","NO","NO","NO","NO","SI","NO",19,"NO","menor 3 años","SI"
674303,"SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
3810995,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
524298,"SI","SI","NO","NO","NO","NO","NO","SI","SI","SI","NO",19,"SI","mas de 7 años","NO"
27259977,"SI","SI","NO","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
10846024,"NO","NO","SI","NO","SI","NO","NO","NO","SI","NO","NO",19,"NO","menor 3 años","SI"
18422540,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
9205610,"SI","SI","SI","NO","NO","NO","NO","NO","SI","NO","NO",19,"SI","menor 3 años","SI"
11442913,"SI","SI","SI","NO","NO","NO","NO","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
44044658,"SI","SI","SI","NO","SI","NO","SI","NO","NO","NO","SI",19,"SI"," 3 - 7 años","SI"
31866810,"SI","SI","NO","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
1116143,"NO","NO","SI","NO","SI","NO","NO","NO","NO","SI","NO",19,"NO","menor 3 años","SI"
13469871,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
15199439,"NO","SI","SI","NO","SI","NO","NO","NO","NO","NO","NO",19,"SI"," 3 - 7 años","SI"
1716289,"SI","SI","SI","NO","SI","SI","NO","SI","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
3014309,"SI","SI","SI","SI","NO","NO","NO","SI","NO","SI","NO",19,"SI","mas de 7 años","NO"
4439673,"NO","SI","NO","NO","NO","NO","NO","NO","SI","NO","NO",19,"SI","menor 3 años","SI"
18756326,"NO","NO","SI","NO","NO","NO","SI","NO","NO","NO","NO",19,"SI","menor 3 años","SI"
1922685,"SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO",19,"SI"," 3 - 7 años","SI"
2369365,"SI","SI","SI","NO","SI","NO","NO","NO","NO","SI","NO",19,"SI"," 3 - 7 años","NO"
14457555,"NO","NO","SI","SI","NO","NO","NO","NO","SI","NO","NO",19,"NO","menor 3 años","SI"
20496118,"NO","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI","menor 3 años","SI"
8895284,"SI","NO","NO","NO","NO","SI","NO","SI","NO","SI","NO",19,"SI"," 3 - 7 años","SI"
23076444,"NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI",19,"SI","menor 3 años","SI"
29739635,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","SI"
2206323,"NO","SI","SI","NO","SI","NO","NO","SI","NO","NO","NO",19,"NO"," 3 - 7 años","SI"
4656389,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI","menor 3 años","SI"
12516350,"SI","SI","SI","NO","SI","NO","NO","NO","SI","NO","NO",19,"SI"," 3 - 7 años","NO"
35591937,"NO","SI","SI","NO","SI","NO","NO","NO","NO","SI","NO",19,"SI"," 3 - 7 años","SI"
10679694,"SI","SI","SI","NO","SI","NO","NO","NO","SI","SI","SI",19,"SI"," 3 - 7 años","NO"
9839735,"NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO",19,"NO","menor 3 años","SI"
12097775,"SI","SI","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
5426287,"SI","NO","SI","NO","SI","NO","NO","NO","SI","SI","NO",19,"SI","menor 3 años","NO"
608275,"SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","NO"
4199341,"SI","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO",19,"SI"," 3 - 7 años","SI"
1721214,"SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
23238893,"SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI"," 3 - 7 años","SI"
19942828,"SI","NO","SI","NO","NO","NO","SI","NO","NO","NO","SI",19,"SI","menor 3 años","SI"
23084164,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",19,"SI","mas de 7 años","NO"
739775,"NO","NO","SI","SI","NO","NO","NO","NO","SI","NO","NO",19,"NO","menor 3 años","SI"
54763,"NO","SI","SI","NO","NO","NO","NO","NO","NO","SI","SI",19,"SI","menor 3 años","SI"
